proposal_num,hand_classification
0001,stellar physics
0002,stellar physics
0003,null
0004,null
0005,null
0006,null
0007,solar system
0008,null
0009,null
0010,null
0011,null
0012,stellar physics
0013,planets and planet formation
0014,null
0015,galaxies and the igm
0016,null
0017,galaxies and the igm
0018,stellar populations and the ism
0019,planets and planet formation
0020,planets and planet formation
0021,stellar physics
0022,galaxies and the igm
0023,supermassive black holes and active galaxies
0024,planets and planet formation
0025,large scale structure of the universe
0026,stellar physics
0027,large scale structure of the universe
0028,supermassive black holes and active galaxies
0029,planets and planet formation
0030,large scale structure of the universe
0031,planets and planet formation
0032,galaxies and the igm
0033,large scale structure of the universe
0034,solar system
0035,stellar physics
0036,galaxies and the igm
0037,galaxies and the igm
0038,supermassive black holes and active galaxies
0039,galaxies and the igm
0040,planets and planet formation
0041,stellar physics
0042,supermassive black holes and active galaxies
0043,stellar physics
0044,solar system
0045,large scale structure of the universe
0046,galaxies and the igm
0047,planets and planet formation
0048,supermassive black holes and active galaxies
0049,galaxies and the igm
0050,stellar physics
0051,stellar physics
0052,stellar populations and the ism
0053,galaxies and the igm
0054,stellar physics
0055,galaxies and the igm
0056,galaxies and the igm
0057,stellar physics
0058,planets and planet formation
0059,stellar populations and the ism
0060,stellar physics
0061,planets and planet formation
0062,stellar physics
0063,planets and planet formation
0064,planets and planet formation
0065,galaxies and the igm
0066,galaxies and the igm
0067,galaxies and the igm
0068,supermassive black holes and active galaxies
0069,large scale structure of the universe
0070,stellar populations and the ism
0071,stellar populations and the ism
0072,stellar physics
0073,galaxies and the igm
0074,supermassive black holes and active galaxies
0075,stellar physics
0076,stellar physics
0077,galaxies and the igm
0078,stellar physics
0079,galaxies and the igm
0080,stellar physics
0081,galaxies and the igm
0082,stellar populations and the ism
0083,galaxies and the igm
0084,stellar physics
0085,stellar populations and the ism
0086,stellar physics
0087,stellar physics
0088,stellar physics
0089,supermassive black holes and active galaxies
0090,supermassive black holes and active galaxies
0091,galaxies and the igm
0092,stellar populations and the ism
0093,null
0094,stellar physics
0095,planets and planet formation
0096,supermassive black holes and active galaxies
0097,planets and planet formation
0098,stellar physics
0099,galaxies and the igm
0100,planets and planet formation
0101,galaxies and the igm
0102,galaxies and the igm
0103,galaxies and the igm
0104,stellar physics
0105,galaxies and the igm
0106,galaxies and the igm
0107,stellar physics
0108,galaxies and the igm
0109,stellar populations and the ism
0110,stellar physics
0111,supermassive black holes and active galaxies
0112,stellar populations and the ism
0113,galaxies and the igm
0114,null
0115,planets and planet formation
0116,stellar populations and the ism
0117,planets and planet formation
0118,galaxies and the igm
0119,galaxies and the igm
0120,galaxies and the igm
0121,galaxies and the igm
0122,stellar populations and the ism
0123,galaxies and the igm
0124,stellar physics
0125,planets and planet formation
0126,null
0127,galaxies and the igm
0128,stellar populations and the ism
0129,stellar physics
0130,supermassive black holes and active galaxies
0131,planets and planet formation
0132,galaxies and the igm
0133,galaxies and the igm
0134,stellar physics
0135,planets and planet formation
0136,stellar populations and the ism
0137,stellar physics
0138,galaxies and the igm
0139,large scale structure of the universe
0140,stellar populations and the ism
0141,stellar physics
0142,planets and planet formation
0143,solar system
0144,stellar physics
0145,planets and planet formation
0146,stellar physics
0147,large scale structure of the universe
0148,galaxies and the igm
0149,solar system
0150,galaxies and the igm
0151,stellar populations and the ism
0152,galaxies and the igm
0153,stellar physics
0154,null
0155,stellar physics
0156,supermassive black holes and active galaxies
0157,stellar populations and the ism
0158,stellar physics
0159,stellar physics
0160,planets and planet formation
0161,galaxies and the igm
0162,supermassive black holes and active galaxies
0163,galaxies and the igm
0164,planets and planet formation
0165,planets and planet formation
0166,solar system
0167,stellar populations and the ism
0168,galaxies and the igm
0169,large scale structure of the universe
0170,stellar populations and the ism
0171,stellar physics
0172,galaxies and the igm
0173,galaxies and the igm
0174,galaxies and the igm
0175,supermassive black holes and active galaxies
0176,galaxies and the igm
0177,galaxies and the igm
0178,galaxies and the igm
0179,stellar populations and the ism
0180,stellar physics
0181,galaxies and the igm
0182,stellar physics
0183,planets and planet formation
0184,galaxies and the igm
0185,galaxies and the igm
0186,planets and planet formation
0187,planets and planet formation
0188,stellar populations and the ism
0189,stellar populations and the ism
0190,galaxies and the igm
0191,stellar physics
0192,stellar physics
0193,stellar populations and the ism
0194,galaxies and the igm
0195,galaxies and the igm
0196,large scale structure of the universe
0197,galaxies and the igm
0198,stellar physics
0199,stellar physics
0200,stellar populations and the ism
0201,stellar physics
0202,stellar physics
0203,planets and planet formation
0204,galaxies and the igm
0205,galaxies and the igm
0206,supermassive black holes and active galaxies
0207,stellar physics
0208,planets and planet formation
0209,galaxies and the igm
0210,large scale structure of the universe
0211,stellar populations and the ism
0212,large scale structure of the universe
0213,galaxies and the igm
0214,galaxies and the igm
0215,planets and planet formation
0216,stellar physics
0217,galaxies and the igm
0218,planets and planet formation
0219,stellar physics
0220,stellar physics
0221,galaxies and the igm
0222,galaxies and the igm
0223,galaxies and the igm
0224,galaxies and the igm
0225,galaxies and the igm
0226,galaxies and the igm
0227,galaxies and the igm
0228,supermassive black holes and active galaxies
0229,large scale structure of the universe
0230,planets and planet formation
0231,galaxies and the igm
0232,galaxies and the igm
0233,stellar populations and the ism
0234,solar system
0235,stellar physics
0236,galaxies and the igm
0237,galaxies and the igm
0238,galaxies and the igm
0239,solar system
0240,solar system
0241,solar system
0242,large scale structure of the universe
0243,galaxies and the igm
0244,supermassive black holes and active galaxies
0245,galaxies and the igm
0246,galaxies and the igm
0247,stellar populations and the ism
0248,stellar physics
0249,stellar physics
0250,stellar physics
0251,supermassive black holes and active galaxies
